Jessie	110	100	-3	0.5	2.00	280.0	7.00
Squishy	110	90	-5	0.5	1.00	270.0	6.00
Torment	110	100	-5	0.4	1.00	270.0	8.00
Gimmick	110	100	-3	0.5	1.00	270.0	10.00
Flakes	107	100	-5	1.0	1.00	310.0	7.00
Hockser	110	90	-4	0.4	1.00	270.0	5.00
RollDizz	110	100	-4	0.7	1.00	240.0	7.00
ayjacks	110	110	-3	0.6	1.00	270.0	4.00
Memory	110	110	-3	0.4	1.00	270.0	6.00
Allushin	110	90	-3	0.4	1.00	260.0	3.00
Atomic	110	90	-4	0.4	1.00	270.0	5.00
GarrettG	110	100	-5	0.4	1.00	270.0	5.00
jstn	110	90	-4	0.4	1.00	270.0	5.00
Turbopolsa	110	110	-5	0.4	1.00	270.0	6.00
ExplosiveGyro	110	100	-5	0.4	1.00	270.0	4.00
retals	109	90	-4	0.4	1.00	270.0	5.00
mist	109	100	-4	0.4	1.00	270.0	5.00
Wonder	110	90	-6	0.4	1.00	280.0	3.00
AyyJayy	110	100	-5	0.4	1.00	260.0	7.00
Kronovi	110	100	-4	0.6	1.00	280.0	3.00
Sypical	110	100	-5	0.4	1.00	270.0	5.00
AxB	110	100	-4	0.4	1.00	270.0	5.00
Arsenal	110	100	-5	0.4	1.00	270.0	10.00
Shock	110	110	-3	0.4	1.00	260.0	2.00
Satthew	110	100	-5	0.4	1.00	260.0	4.00
Dappur	110	100	-4	0.5	1.00	270.0	5.00
Rapid	110	100	-3	0.7	1.00	240.0	6.00
Sea-Bass	110	110	-4	0.6	1.00	260.0	5.00
Aeon	110	100	-5	0.3	1.00	270.0	5.00
Forky	110	100	-3	0.4	1.00	270.0	5.00
Rizzo	108	110	-4	0.2	1.00	280.0	4.00
JKnaps	108	90	-5	0.4	2.00	260.0	3.00
Chicago	110	100	-3	0.5	1.00	270.0	8.00
Deevo	109	100	-5	0.4	2.00	250.0	6.00
Bluey	110	100	-3	0.4	1.00	260.0	7.00
Ronaky	110	100	-3	0.5	1.00	270.0	3.00
ViolentPanda	110	110	-3	0.6	1.00	270.0	3.00
Yukeo	110	110	-3	1.0	2.00	300.0	2.00
Aztral	110	90	-4	0.4	1.00	270.0	7.00
Kuxir97	110	90	-6	1.0	1.00	260.0	4.00
Speed	109	110	-3	0.7	1.00	260.0	5.00
al0t	110	90	-4	0.7	1.00	280.0	7.00
Ferra	110	100	-5	0.6	1.00	270.0	5.00
Chausette45	110	110	-3	0.4	1.00	280.0	5.00
fruity	110	110	-3	0.6	1.00	270.0	4.00
FairyPeak	110	110	-3	0.6	1.00	270.0	4.00
Scrub	110	100	-4	0.7	1.00	270.0	7.00
Kaydop	110	110	-3	0.7	1.00	270.0	3.00
FlamE	110	90	-3	0.8	1.00	230.0	3.00
FreaKii	110	110	-3	0.4	1.00	270.0	10.00
Kassio	110	100	-5	0.6	1.00	270.0	7.00
Tigreee	110	90	-3	0.4	1.00	270.0	7.00
Alpha54	110	110	-3	0.3	1.00	270.0	4.00
remkoe	110	100	-4	0.4	1.00	270.0	6.00
Metsanauris	110	90	-4	1.0	1.00	260.0	6.00
Torsos	110	100	-2	0.6	1.00	250.0	10.00
oKhaliD	110	100	-3	0.5	1.00	270.0	3.00
